status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154080728766006,140,115,2200,7,44,26,0,0
7331091005_10154080686006006,61,350,3904,50,2,0,206,1
7331091005_10154080640786006,254,515,5997,32,82,19,0,1
7331091005_10154080444826006,345,296,3152,24,7,372,5,11
7331091005_10154080361096006,33,118,1892,5,3,42,0,0
7331091005_10154080276456006,45,58,868,18,56,11,9,1
7331091005_10154080176681006,40,54,1432,32,17,1,0,2
7331091005_10154080146446006,62,150,1571,23,37,4,0,1
7331091005_10154080094286006,195,11326,41210,1161,42,7,2057,6
7331091005_10154079362856006,1689,55006,140662,2242,323,33,17944,43
7331091005_10154079350646006,41,38,583,7,2,7,0,1
7331091005_10154079326646006,52,27,546,4,4,26,30,8
7331091005_10154079208951006,85,84,1412,8,2,57,0,2
7331091005_10154079153231006,312,1990,12056,153,58,8,2829,15
7331091005_10154079066136006,532,99,1633,107,52,42,17,58
7331091005_10154078978771006,552,563,6282,27,174,275,10,31
7331091005_10154078869361006,2213,3039,18116,192,394,97,2,12
7331091005_10154078697106006,240,806,7010,78,36,174,5,13
7331091005_10154078523731006,57,91,1195,11,6,39,0,0
7331091005_10154078461086006,436,1120,16101,207,282,64,1,13
7331091005_10154078384161006,20,37,522,4,2,0,0,0
7331091005_10154078360791006,269,381,2138,15,2,287,3,1
7331091005_10154078272851006,10,22,98,2,0,4,0,0
7331091005_10154078211781006,884,2484,14244,151,58,1713,1,11
7331091005_10154078091381006,1438,1028,8160,154,29,963,3,5
7331091005_10154077837931006,789,1074,6517,44,13,178,12,7
